idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
362471193,Aal,Epistolae de priapismo sive propudiosa Cleopatrae libidine,Josephi Scaligeri versiones graecae duorum priapeiorum et index in kunia Carmina,,,,,,,,,in: Priapeia sive diversorum poetarum in priapum lusus ...
368779629,Aal,Die @Betätigung der Hof- und Staatsdruckerei auf dem Gebiet des Buchdrucks,,,,,,,,,,in: Zur Feier des einhundertjährigen Bestandes der K.K. Hof- und Staatsdruckerei
573232164,Aal,Die @Geschichte von den drei Derwischen,Der erwachte Schläfer,,,,,,,,,"in: Schlaefer, Der erwachte"
573446350,Aal,"Gesetz über die Schätzung des Kulturbodens (Bodenschätzungsgesetz, BodSchätzG) vom 16. Oktober 1934",,,,,,,,,,in: Vermoegensteuergesetz vom 16. Okt. 1934
573510245,Aal,Buch und Geist,"Nach e. Festvortr. anläßlich d. 100jähr. Firmenjubiläums d. Buchhdlg Gräfe u. Unzer, Königsberg Pr.",,,,,,,,,in: Morgenfeier im Schauspielhaus zu Königsberg Pr. am 3. Jan. 1932 aus Anl. d. 100 jähr. Namensjubiläums d. Buchh. Gräfe u. Unzer. 1932
574271740,Aal,Ein @Gottfried Keller Büchlein [geschrieben],,,,,,,,,,"in: Keller, Gottfried : Ein Gottfried Keller Büchlein [Werke, Ausz.]"
993854249,Aal,Abdanckungen,gehalten unterschiedenen Standes-Personen von vornehmen Theologis,,,,,,,,,in: Leich-Abdankungen denen erlauchten fürstlichen Personen ...
993856195,Aal,Notes upon the twelve books of paradise lost,,,,,,,,,,"in: Milton, John: The poetical works [Teils.]"
993856268,Aal,Notes upon the twelve books of paradise lost,,,,,,,,,,"in: Milton, John: Teils. London 1731"
993860427,Aal,Die @Bedeutung der Abonnenten-Versicherung der deutschen illustrierten Wochenblätter für den Zeitschriftenbuchhandel,,,,,,,,,,"in: Der Buch- und Zeitschriftenhandel. Jg. 46. 1925, Nr 18, S. [337] - 340"
993860494,Aal,Kurze Geschichte der Abonnenten-Versicherung der deutschen Familienblätter,,,,,,,,,,"in: Der Buch- und Zeitschriftenhandel. Jg. 45. 1924, Nr 21 S, [701] - 706"
993861164,Aal,"Saggio di un Catalogo delle edizioni del ""Decretum Gratiani"" posteriori al secolo XV.",,,,,,,,,,in: Studia Gratiana. 6
993882889,Aal,Urheberrecht an unveröffentlichten Werken,,,,,,,,,,"in: Deutsche Juristen-Zeitung. Jg. 26.1921, H.1-2, Sp. 23-26"
99388539X,Aal,"Brief an Melchior Novesianus in Köln, 1542",,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
993886574,Aal,Meißnische Bergk-Chronica,"darinnen fürnemlich von den Bergkwercken des Landes zu Meissen gehandelt wirdt,...",,,,,,,,,"in: Albinus, Petrus: Meißnische Land- und Berg-Chronica"
993910556,Aal,"Rapport de la séance extraordinaire, du 12 juin 1813 à l'académie des sciences, arts et bellesç-lettres, de Dijon",,,,,,,,,,"in: Leschevin: Rapports lus à l'académie des sciences, arts et belles-lettres, de Dijon. 1815"
993931901,Aal,Von der Krise des deutschen Buches und den Möglichkeiten ihrer Überwindung,,,,,,,,,,"in: Die Volksschule. Jg. 27. 1931, H. 12, S. 580 - 591"
993944574,Aal,Geschichte der Königin Elisabeth von England,,,,,,,,,,in: Historischer Kalender für Damen für das Jahr 1790
993944647,Aal,Liber de temporibus,,,,,,,,,,in: Historia antiqua
993946402,Aal,Der @Schutz schriftstellerischer Erzeugnisse und Verlagsideen ausserhalb des literarischen Urheber- und Verlagsrechtes,,,,,,,,,,"in: Technische Woche. Jg.4.1905, Nr 28 u. 29, S. 217 - 218 u. 225 - 226"
99397385X,Aal,Der @Bautzener Papiermacher Valten Ochsel,,,,,,,,,,"in: Archiv für Sippenforschung und alle verwandten Gebiete. 1934, H. 6. S. 173 - 176"
99399234X,Aal,Das @Wesen des Verlages und seine Einfügung in das kulturelle Leben Hamburgs,,,,,,,,,,"in: Mathéy, Georg Alexander: Architektur des Buches"
994041403,Aal,Scholia in septem Euripidis tragoedias ex antiquis exemplarib. collecta,,,,,,,,,,in: Euripides: Tragoediae octodecim [Werke]
994042795,Aal,"De magna bestia a nonnullis alce, Germanis Ellend appelata",,,,,,,,,,"in: Bacci: De monocerote seu unicornu [L' Alicorno, lat.]"
994043058,Aal,Briefe von und an Jodocus Badius in Paris,1505 - 1518,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
994043147,Aal,Briefe an Erasmus von Rotterdam,1515 - 1516,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
994050666,Aal,"Scriptores rei diplomaticae tum qui generatim de re diplomatica, tum in specie de bellis diplomaticis egerunt item diplomatum collectores nec non recensio illorum scriptorum, ...",,,,,,,,,,"in: Baring, Daniel Eberhard: Clavis diplomatica ... Hanoverae 1737. 8°"
994053673,Aal,Some unrecorded early-printed Slavonic books in English libraries,,,,,,,,,,in: Oxford Slavonic Papers. Vol. 2.1951
994060750,Aal,Die @Silbenschriften des alten Ostmittelmeerraumes /Antonin  Bartonek,,,,,,,,,,"in: Das Altertum. Bd 5. 1959, H.1, S. 16 - 34"
994090269,Aal,Notes on watermarks,,,,,,,,,,"in: Magazine, The book-lovers. 1906. Vol. 5, P. 2. S. 65 - 71 mit Abb. 4°"
994090994,Aal,"Anhang oder alphabetischer Zeiger dererjenigen unterschiedlichen gebräuchlichen Nahmen und Wörter, so die Papiermacher sich bedienen, und wie sie ein jegliches Ding in denen Papier-Mühlen heissen",,,,,,,,,,"in: Schade, Franz Henning: Entwurff und Beschreibung von der Papiermacherey. Neudr. v. 1740. 1962"
99411706X,Aal,"Type-facsimile of John Bell's first type-specimen, [London] 1788",,,,,,,,,,"in: Anthoensen, Fred. John Bell type, its loss and rediscovery"
99413293X,Aal,Leipzigs ominöse Namen,Ein Scherz ; Vorgetr. im Schriftstellerverein am 29. Jan. 1866,,,,,,,,,in: Sonntags-Beilage der Leipziger Nachrichten 4. Febr. 1866 u. 11. Febr. 1866
994151829,Aal,The @golden Epistle of Saint Bernarde,,,,,,,,,,"in: Birgitta, Sancta: Four revelations [Revelationes, Ausz., engl.] of Saint Bridget"
994158564,Aal,Zur Berner-Tarifangelegenheil,1876,,,,,,,,,in: Mitteilungen für den Verein schweizerischer Buchdruckereibesitzer. Jg. 4. 1876. Nr. 38
994188382,Aal,"Der @Ausstellung ""Das graphisch gestaltete Flaschenschild der Weinbauwirtschaft"", veranst. 1940 durch d. Staatl. Gewerbe-Bibliothek in Dresdren zum Geleit",,,,,,,,,,in: Erasmusdrucke : [Sammelmappe 1]
994194161,Aal,"Catalogue des livres françois, anglois et italiens, du Cabinet de Lecture chez J[ohann] Gottlob Beygang",,,,,,,,,,in: Beygang: Bibliothek des Museums. Forts. 1. Leipzig 1798
994200404,Aal,La @Biblioteca Rossiana,,,,,,,,,,"in: Rivista delle biblioteche e degli archivi. N.S. Anno 1. 1923, No 1/2, S. 19 - 32"
994219857,Aal,Die @deutschen Bibliotheken,,,,,,,,,,"in: Unsere Zeit. Dt. Revue der Gegenwart. N.F.Jg. 4. 1868, H.24"
994220103,Aal,Die @öffentlichen Bibliotheken in England,,,,,,,,,,"in: Atlantis. Zeitschrift für Leben und Literatur in England u. Amerika. Bd 1. 1853, No 1"
994248644,Aal,"Summerland, Babylon - Assyrien",,,,,,,,,,"in: Das Schriftmuseum von Heintze & Blanckertz, Berlin. - Sammelhefter"
994249411,Aal,"Von den vier Elementen, zamen und wilden Thieren, auch Vöglen und Fischen, Milch, Käß, Butter, Honig, Wachs, Zucker, Saltz, Brot, ...",[Teutsche Speißkammer],,,,,,,,,"in: Bock, Hieronymus: Kreütterbuch (4. Ausg. d. Neubearb.)"
994253079,Aal,Funktionelle Buchgestaltung,,,,,,,,,,"in: Deutsche Buchgestaltung. Eine Bücherschau, veranstalt.v.Börsenver.d.Dt.Buchhändler u. v. Dt.Buchgewerbeverein zu Leipzig. März 1931"
994313845,Aal,Oratium Ideae è selectiori materia modernistatus politici desumtae,"Olim Lugduni Batauorum excusae; sed quam plurimis erratis deformatae, nunc singulari studio trium manuscriptorum adiutu emendatae",,,,,,,,,"in: Becker, Georg: Orator extemporaneus sine artis oratoriae"
994315082,Aal,"Weltspiegel, oder Narren Schiff, darin aller Ständt schandt und laster, uppiges Leben, grobe Narrechte sitten, und der Weltlauff, gleich als in einem Spiegel gesehen und gestrafft werden",,,,,,,,,,"in: Scheible, Johann: Das Kloster, weltlich und geistlich. Bd. 1. Zelle 1-4. S. 216 ff."
994335008,Aal,De la @valeur des filigranes du papier comme moyen de déterminer l'age et la provenance de documents non datés,,,,,,,,,,in: Bulletin de la Société d'Histoire et d'Archéologie de Genève. T. 1. liv. 2. 1892
994337485,Aal,"Das @Recht auf die Benutzung des Familiennamens, unlauterer Wettbewerb und Reichsgericht",,,,,,,,,,"in: Juristische Wochenschrift. Jg. 57. 1928, H. 6, S. 321 - 327"
994341261,Aal,Tabula logarithmorum pro numeris naturali serie crescentibus ab unitate ad 10.000,,,,,,,,,,"in: Vlacq, Adrian: Tabellen der Sinuum, Tangentium und Secantium"
99437707X,Aal,Internationale Buchkunst-Ausstellung,,,,,,,,,,"in: Deutsche Rundschau. Berlin. Jg. 53. 1927, H. 10"
994379234,Aal,"Feuchtfröhliche Buchhändlerlieder zum Cantatefestmahl am 5.Mai 1901, überreicht von der Redaction der Musik-Woche",,,,,,,,,,"in: Die Musikwoche. Moderne illustrierte Zeitschrift Jg. 1.1901. H.13, Kantate-Woche, Beil."
994379234,Aal,"Feuchtfröhliche Buchhändlerlieder zum Cantatefestmahl am 5.Mai 1901, überreicht von der Redaction der Musik-Woche",,,,,,,,,,"Vorsatz: J. G. Fritzsche, Lithogr. Anst., Leipzig; Einbandstoff: Knauth & Co., Leipzig; Platten-Gravur: Gebr. Mejo, Leipzig; Einband: Dampfbuchbinderei-Aktiengesellschaft vorm. F. A. Barthel"
994381751,Aal,Die @Buchstabenschrift eine Erfindung der Babylonier,,,,,,,,,,in: Magazin für die Literatur des Auslandes. 1844. No. 21 v. 17. Febr.
99438503X,Aal,"Lob- und Danck-Rede, welche, als das dritte Jubel-Fest wegen Erfindung der edlen Buchdrucker-Kunst ... zu Erfurt ... gefeyret wurde, gehalten",,,,,,,,,,in: Hilaria typographica Erfordiensia
994402112,Aal,"Erklärung über das Buch Josua von dem gelobten Lande, wie es unter die 12 Stämme Israelis ausgetheilet worden",,,,,,,,,,"in: Buenting, Heinrich: Intinerarium sacrae scripturae. 3. Aufl. Erfurt 1757"
994402538,Aal,"De @monetis et mensuris Scripturae sacrae, das ist: Eigentliche Ausrechnung und beschreibung aller Müntze und Maase in heiliger Schrift, darinnen alle Silber und Gold-Müntze ... progezogen",,,,,,,,,,"in: Buenting, Heinrich: Intinerarium sacrae scripturae. 3. Aufl. Erfurt 1757"
994403909,Aal,Verlagsverträge mit Juden,"Ein Beitr. zur ""Woche des deutschen Buches""",,,,,,,,,"in: Juristische Wochenschrift. Jg.66.1937, H. 42, S. 2639"
994404689,Aal,Renouard's Untersuchung des literarischen Eigenthums,,,,,,,,,,"in: Magazin f. d. Literatur d. Auslandes. No 135 u. 137. 1838, S. 537/538 u. 546 - 548"
994405189,Aal,Martin Butzers an ein christlich Rath und Gemeyn der stat Weissenburg Summary seiner Predig daselbst gethon,,,,,,,,,,"in: Geburtsfeier, Zur 400 jährigen, Martin Butzer's"
99444818X,Aal,"[Catalogus derer Bücher, die wir gedruckt oder verhandelt haben und nicht in dem gedruckten Cataloge stehen, aber noch einige Exemplaria vorhanden sind]",,,,,,,,,,in: Mess-Adressbuch
994474695,Aal,The @History and art of wood-engraving,,,,,,,,,,"in: Chatto, William A.: Gems of wood engraving. 1849"
994482817,Aal,Chemie,,,,,,,,,,in: Physik
994484259,Aal,"[43 Kupf. nach M. Merian d. Ä., Totentanz d. Kirchhofsmauer d. Dominikanerklosters in Basel]",,,,,,,,,,"in: Todtentanz, wie derselbe in der löbl. u. weltberühmten Stadt Basel [Totentanz, Basler Version, dt. u. franz.] als ein Spiegel ... Basel: Johann Rudolph Im-Hof 1744. 8°"
994490593,Aal,Dissertazione estetica,,,,,,,,,,"in: Bodoni, Giambattista: La prefazione al Manuale tipografico"
994520050,Aal,"Defensio Joannis Episcopi Roffensis & Thome Mori, adversus Richardum samsonen Anglum",,,,,,,,,,in: Nicolaus I. Papa: Antiqua et insignis Epistola Nicolai Pape I. ad Michaelem Imperatorem
994521499,Aal,A @short history and description of the Kelmscitt Press,,,,,,,,,,"in: Morris, William. - A Note by William Morris on his aims in founding the Kelmscott Press"
994527780,Aal,Autor und Verleger,,,,,,,,1044992719,Qd,"in: Volkswirtschaftliche Blätter. Jg. 28. 1929, Nr 3/4, S. 143 - 149"
994564090,Aal,Aus der Geschichte der Hethiter,,,,,,,,,,"in: Das Altertum. Bd. 5. 1959. H. 1, S. 3-16"
994577370,Aal,Receptarum juris utriusque regularum partitiones ...,,,,,,,,,,"in: Corvinus, Joannes Arn. Elementa juris civilis"
994593406,Aal,Ctesiae quaedam de reb. Pers. et Ind. 1592,,,,,,,,,,"in: Herodotus: Historiarus libri IX [Historiae, griech. u. lat.]"
99459352X,Aal,"Ex Ctesiae scriptis quae Persica nominata sunt excerptae à Photio historiae, Latine nunc primum factae",[[Hrsg.:] Henricus Stephanus],,,,,,,,,in: Herodotus: Historiae libri IX
994642318,Aal,Juliani imp erii Caesares,,,,,,,,,,in: Cunaeus: Sardi venales
994661738,Aal,L' @édition et la librairie à l'époque révolutionnaire,,,,,,,,,,in: Le Bulletin du livre français. Année 8. 1939. No 70
994662076,Aal,Textus Graecus prophetae,,,,,,,,,,"in: Melanchthon, Philipp: In Danielem Prophetam commentarius"
994669054,Aal,Buchbinden,,,,,,,,,,"in: Kurse, Die technischen, der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. T. 9"
994727798,Aal,Adam Ries - der ʺZahlenhexerʺ,,,,,,,,,,in: Kultur und Heimat. Kreis Annaberg. Jg. 5. 1958. Okt.
99474028X,Aal,Dibdin und die Bücherliebhaberei in England,,,,,,,,,,"in: Magazin f. d. Literatur d. Auslandes. No 34 u. 35. 1838, S. 133-134 u. 138-139"
99479553X,Aal,Der @Aufbau neuzeitlicher Zeitungs-Rotationsdruckmaschinen,,,,,,,,,,"in: Schneidereit, G. - Forschung an Druckmaschinen"
994827962,Aal,Über die Einführung und Verbreitung der Buchdruckerkunst in Böhmen,,,,,,,,,,"in: Abhandlungen einer Privatgesellschaft in Böhmen, zur Aufnahme der Mathematik, der vaterländischen Geschichte und der Naturgeschichte. Bd 5. Prag 1782. S. 228-262. - Exlibris: Bibliotheca C. E. Weigel."
994833482,Aal,Au @revoir,,,,,,,,,,in: Dobson: Proverbs in procelain
994896441,Aal,Von Privilegien für Kalender,"Vom Vertrien der Kalender ; Von Sack-, Taschen- und Portemonnaie-Kalendern",,,,,,,,,"in: Börsenblatt f. d. dt. Buchh. Frankf. Ausg. Jg. 24. 1968, Nr 48: Kalender-Sondernr."
995040192,Aal,Verzeichnis illustrierter Prachtwerke und Jugendschriften aus d. Verlage v. Alphons Dürr in Leipzig,,,,,,,,,,"in: Pletsch, Oscar: Spielgefährten. Alte und neue Reime"
995132828,Aal,Vlastimil Rada,,,,,,,,,,in: Tschechoslowakei. 1958. Nr 6
995306702,Aal,Die @Tragweite des Verlagsrechtes,,,,,,,,,,"in: Markenschutz u. Wettbewerb. Jg. 20. 1921, Nr 10, S. 205 - 207"
995329036,Aal,"[Verkaufsangebot von 200 Restexemplaren von Joachim von Sandrarts deutsche Academie der Bau-, Bildhauer- u. Malerkunst, 1768-1775. nebst Angebot der Kupferplatten]",,,,,,,,,,"in: Anzeigenteil e. unbekannten Zss., Spalte 4132"
99533272X,Aal,"Ueber eine einfache und sichere Methode, den Preis der Bücher-Einbände zu berechnen",,,,,,,,,,"in: Archiv f. Buchhändler. Bd. 2, H. 3"
995381763,Aal,Entwurf eines Regulativs für den literarische Rechtszustand in Deutschland,Eingereicht an d. Ministercongreß in Wien u.d. Börsenverein d. Deutschen Buchhändler ; [Buchbesprechung],,,,,,,,,in: Kritische Blätter der Börsen-Halle. 211 v. 14.7.1834
995406820,Aal,Über den handschriftlichen Nachlaß und die gedruckten Briefe Butzer's,Verzeichnis der Literatur über Butzer,,,,,,,,,in: Zur 400jährigen Geburtsfeier Martin Butzer's
995435235,Aal,Ancient Paper-making,,,,,,,,,,in: Dickinson: The Firm of John Dickinson and company limited
995492077,Aal,De @Papier-Watermolen (in het Nederlandsch Openlucht-Museum),,,,,,,,,,"in: Het Nederlandsch Openlucht-Museum te Arnhem. No 22, Nov. 1934"
995504598,Aal,"Bilder aus einem niederdeutschen Stundenbuch der Hessischen Landesbibliothek, eingel. u. erl. v. Karl Esselborn",,,,,,,,,,in: Zeitglöcklein. Ausg. 1937(1936)
995583846,Aal,Beiträge zur ältesten Geschichte der Buchdruckerkunst in Basel,,,,,,,,,,in: Basler Taschenbuch auf das Jahr 1863. Jg. 11
995666083,Aal,"3. Preisschrift, die bey der Königlichen Societät der Wissenschaften zu Göttingen das Accessit erhalten hat",,,,,,,,,,in: Drey Preisschriften zu Beantwortung der von der Königlichen Societät der Wissenschaften zu Göttingen aufgegebenen Preisfrage die den Urkunden und Büchern in Archiven und Bibliotheken schädlichen Insekten betreffend
995671931,Aal,Gedichte,,,,,,,,,,in: Klingspor-Kalender für das Jahr 1910
99567857X,Aal,Die @Internationale Ausstellung für Buchgewerbe und Graphik,,,,,,,,,,in: Mitteilungen für Bücherfreunde. No 59. 1914
995680736,Aal,Le @Sommaire philosophique,,,,,,,,,,"in: De la Transformation metallique, trois anciens tractez"
995700869,Aal,English Bookbindings,,,,,,,,,,in: Some minor Arts
995701571,Aal,L' @Officine Espagnole de Martin Nutius à Anvers,,,,,,,,,,in: De Gulden Passer. Jg. 35. 1957
995719764,Aal,"[Methodi concionandi viginti sex, quibus annexae sunt observationes, formulae ...]",Methodus ac formulae concionandi,,,,,,,,,"in: Huelsemann, Johann: Methodus concionandi; nicht im VD17"
995764107,Aal,Early American Boohbinding by hand,,,,,,,,,,in: Boohbinding in America
995770638,Aal,Die @sieben Freuden Mariä nebst Leiden Christi,,,,,,,,,,"in: Stoeger, Franz Xaver: Zwei der ältesten dt. Druckdenkmäler. München 1833. - Typendruck m. Metallschnitten"
995772142,Aal,De recte ordinanda bibliotheca prolusio philosophica,[De optima libros aut bibliothecam ordinandi ratione dissertatio],,,,,,,,,"in: Frobes, Bibliotheca Meibomiana. [Versteig. Kat.] Helmstädt 1742"
995777950,Aal,Mittheilung an die National-Versammlung zu Frankfurt a. M. am 18. Nov. 1848 über seine und Blums Verhaftung etc. in Wien,,,,,,,,,,in: Robert Blum lebt noch!
995786046,Aal,"Vom|| EXORCISMO :|| Darüber in Jetziger|| Zeit, zum hefftigsten ge||stritten wird, wie sich einfeltige Leut|| darein schicken, ...|| Auff Frag vnd Antwort gestellte /|| Durch Caspar Füger den Eltern, ...|",,,,,,,,,,"in: Fueger, Kaspar: Lutheran"
99578681X,Aal,Neue Silhouetten und Reime für kleine und grosse Kinder,"H. 1,2",,,,,,,,,"in: Froehlich, Karl: Fabeln und Erzählungen kleine und grosse Kinder in Versen und Silhuetten. 1854 - 56"
995789983,Aal,Über die Sowjetkultur und das Sowjetbuch,,,,,,,,,,"in: Poršnev, G. I.: Das Buchwesen in der UdSSR"
995791260,Aal,"Übersicht der vom November 1887 bis dahin 1888 auf dem Gebiete der Geographie erschienenen Werke, Aufsätze, Karten und Pläne",,,,,,,,,,"in: Zeitschrift d. Gesellschaft f. Erdkunde zu Berlin. Bd 23.1888, S. 443 - 597"
995883831,Aal,"Ex exercitamentis de fabula, tum de formicis & cicadis",,,,,,,,,,"in: Aesopus: Fabellae [Fabulae, griech. u. lat.]"
995909741,Aal,H. Gautier de Nismes Kunst zu Tuschen,,,,,,,,,,"in: Bosse, Abraham: Gründliche Anweisung zur Radier und Etz Kunst ..."
99594041X,Aal,"Andächtiges Gebet-Büchlein, darin tägliches Morgen- und Abendgebet zu finden ist",,,,,,,,,,"in: Psalmi, [dt.]. -  Hildesheim: Altstädt. Waisenhaus 1755"
995987807,Aal,Beskrivelser og facsimiler af Danske bogtrykkeres materiel,,,,,,,,,,"in: Nielsen, Lauritz: Dansk Bibliografi. T. 1. 1482 - 1550"
996020829,Aal,"Leges, praepositis ecclesiarum eius partis Pomeraniae, quae ab ...",,,,,,,,,,in: Barnim XI. Herzog v. Pommern: Kercken-Ordeninge im Lande tho Pamern
996057323,Aal,"Der @Bibel, das Buch der Menschheit",,,,,,,,,,in: Luther und die Bibel
996070931,Aal,Kunst-Beilagen,Proben aus den Vorräten alter Schriften und Verzierungen der Gerlach'schen Buchdruckerei in Freiberg,,,,,,,,,"in: Kade, Reinhard: Geschichte des Freiberger Buchdrucks"
996266615,Aal,Gesetz über das Recht an photographischen Bildern,,,,,,,,,,in: Gesetz betreffend das Recht an literarischen und musikalischen Werken. Stockholm 1919
996267840,Aal,Gesetz über das Recht an Werken der bildenden Kunst,,,,,,,,,,in: Gesetz betreffend das Recht an literarischen und musikalischen Werken. Stockholm 1919
996270337,Aal,Gesetz über den Schutz der Urheberrechte der Angehörigen der Vereinigten Staaten von Amerika,,,,,,,,,,"in: Deutsch-Amerikanischer Wirtschaftsverband e. V. Mitteilungen. Jg. 4. 1922, Nr 8/9, S. 177"
996281797,Aal,"Gesetz über abgeänderten Wortlaut der §§ 1, 13, 14 und 23 des Gesetzes vom 30. Mai 1919 (Nr 382) betreffend das Recht an Werken der bildenden Kunst",,,,,,,,,,in: Gesetz über veränderten Wortlaut des § 12 im Gesetz vom 30. Mai 1919 (Nr 381) über das Recht an literarischen und musikalischen Werken
996349510,Aal,Brief an Sebastian Gryphius,1548,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
996355693,Aal,"Onomasticum vero: hoc est, propriorum nominum",,,,,,,,,,"in: Calepinus, Ambrosius: Dictionarium undecim linguarum"
99637356X,Aal,[Sermones super Cantica canticorum],Super Cantica sermones,,,,,,,,,in: Bernardus Claravallensis: Opus preclarum [Werke]
996432159,Aal,Chronologia sive temporum supputatio in XI. Dionysii Halicarnassei libros Antiquitatum Romanarum,,,,,,,,,,in: Dionysius Halicarnasseus: Antiquitatum sive originum Romanarum libri [lat.]
996432566,Aal,Chronologia sive temporum supputatio in omnem Romanam historiam Titi Livii,,,,,,,,,,"in: Livius, Titus: Historiarum ab urbe condita libri. Basel 1556 oder zuvor: Johannes Herwagen d. Ä. 8°"
996596739,Aal,Die @Novelle,,,,,,,,,,in: Goethe: Das Märchen
996609199,Aal,Die @moderne Reproduktionstechnik auf photographischer Grundlage als bedeutsamstes Nachbildungsmittel bei der Druckbilderzeugung,,,,,,,,,,"in: Kurse, Die technischen, der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 6"
996614540,Aal,Julius Campe und Börnes Pariser Briefen,Nach d.Briefen d. Hoffmann & Campeschen Verlagsarchivs,,,,,,,,,"in: Börsenblatt f. d. dt. Buchhandel. Jg. 93. 1926, Nr 250, S. 1273 - 1277"
996615156,Aal,Some cuir-cisele Bookbindings in English libraries,,,,,,,,,,"in: Transactions of the Bibliographical Society. New Series Vol. XIII, 1933, No 4."
996639179,Aal,Interview de Edmond de Goncourt,,,,,,,,,,"in: Censure, La, sous Napoléon III"
996658629,Aal,"Hrn. Johann Christoph Gottscheds Untersuchung, ob Deutschland, oder Wälschland zuerst griechischen Schriften habe drucken können?",,,,,,,,,,in: Sammlung einiger ausgesuchten Stücke der Gesellsch. der freyen Künste zu Leipzig. T. 2. 1755
996671730,Aal,A szarvaskirály,,,,,,,,,,"in: Heltai, Jenö: Öt mesejátek. Bd 3."
996699635,Aal,Lamentationes obscurorum virorum,,,,,,,,,,in: Epistolae obscurorum virorum; nicht im VD17
996726659,Aal,"Das @graphische Werk von Daniel Greiner [im] Felsberg-Verlag, Jugengeim a. d. Bergstr.",,,,,,,,,,in: Dreissig-Jahr-Schau Daniel Greiner. 1932
996769609,Aal,"Abhandlung über die für ch, sch, sz vorgeschlagenen Zeichen",,,,,,,,,,"in: Michaelis, G.: Ueber die Anordnung des Alphabets, besonders in wissenschaftlichen Wöärterbüchern"
996807284,Aal,Leben M. A. von Thümmels,,,,,,,,,,"in: Thuemmel, Moritz August von: Sämmtliche Werke. Bd 7."
996816720,Aal,Nachweis wichtiger Gesetzesausgabe mit Erläuterungen,,,,,,,,,,"in: Haber, Konrad: Führer durch die neuere juristische Literatur"
996817859,Aal,Briefe von und an Sebastian Gryphius in Lyon,1538 - 1548,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
996823581,Aal,Die @Badereise der Tante,,,,,,,,,,in: Gumpert: Mein erstes weißes Haar
996829970,Aal,Kudrun [Gudrunlied],,,,,,,,,,"in: Not, Der Nibelunge, [Nibelungenlied]"
996848169,Aal,Fortsetzung der Nachrichten von Nürnberger Künstlern durch Andreas Gulden 1660,,,,,,,,,,"in: Neudörffer, Johann: Nachrichten von den vornehmsten Künstlern u. Werkleuten ... 1546. [Neuausg.] Nürnberg 1828"
99690641X,Aal,Verlags-Verzeichnis 1854 - 1904,,,,,,,,,,"in: Haessel, Hermann.- Hermann Haessel - ein deutscher Buchhändler [Briefe]. 1904"
996907165,Aal,Zum neuen schweizerischen Gesetz betr.das Urheberrecht an Werken der Literatur und Kunst,,,,,,,,,,"in: Markenschutz u. Wettbewerb. Jg. 22. 1923, Nr 6, S. 85 - 86"
996907246,Aal,J. G. Hamanns Briefwechsel mit F. H. Jacobi,,,,,,,,,,"in: Jacobi, Friedrich Heinrich: Werke. Bd. 4,3"
996913246,Aal,Rede,,,,,,,,,,in: Festreden bei der vierten Säkularfeier der Erfindung der Buchdruckerkunst in Basel
996915923,Aal,Das @färberische Verhalten der baumwolle und der aus ihr hergestellten Kunstfasern,,,,,,,,,,"in: Hess, Kurt: Die Chemie der Zellulose und ihrer Begleiter. Anh."
996951903,Aal,"Verlagsanzeigen u. Verzeichnis der Zeitschriften, die abonniert werden können",1881,,,,,,,,,"in: Bibliographie, Russische, Sammelband"
996966420,Aal,"Volksbibliotheken und Lesehallen, sonstige Volksbildung im Jahre 1924",,,,,,,,,,"in: Statistisches Jahrbuch deutscher Städte. Jg. 22 <N.F. Jg. 1>, Lfg. 1"
996976841,Aal,Satzherstellung  auf dem Intertype-Fotosetter für die Produktion eines Verlages,,,,,,,,,,"in: Voehringer, Karl:. Der Photosatz als praktische Aufgabe"
996989994,Aal,Erste Hauptversammlung des Börsenvereins der Buchhändler in der französisch besetzten Zone Deutschlands,,,,,,,,,,"in: Mitteilungen für den Buchhandel in der französischen Zone. Jg. 2. 1947, H. 5/6. Mai/Juni"
997001046,Aal,Die @Amazonen-Literatur,,,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositäten-Bibliographiien"
997001356,Aal,Bibliotheca selecta erotico-curiosa,"Seltene dt. Curiosa, Erotica, Gynaecologica und Sexualia in der Königl. Öffentl. Bibliothek zu Dresden mit Ang. d. Standorts-Signaturen",,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositäten-Bibliographiien"
997002611,Aal,"Der @Halsbandprozeß und der Abentheurer Cagliostro, (geb, 1743 zu Palermo, 1795 zu S. Leo bei Forli)",,,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositätten-Bibliographiien"
